accommodates,bathrooms,bedrooms,beds,price,latitude,longitude,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,property_type,room_type,amenities,neighbourhood_cleansed,city,state,zipcode,market,has_availability,calendar_updated,last_scraped
2,1,1,1,55,30.32861882,-97.67665486,1,1825,30,60,90,365,Bed & Breakfast,Private room,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",78754,Austin,TX,78752,Austin,t,3 weeks ago,11/7/15
4,2.5,2,2,249,30.32468936,-97.73566249,1,1125,30,60,90,365,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,8 months ago,11/7/15
1,1,1,2,75,30.32544871,-97.73716664,1,14,28,58,88,88,Apartment,Shared room,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,8 months ago,11/7/15
2,1,1,1,120,30.31876941,-97.74560504,1,1125,0,0,0,9,House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/7/15
2,2,1,1,75,30.32489938,-97.73986003,1,14,30,60,90,365,Bed & Breakfast,Private room,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Cat(s),""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,6 months ago,11/7/15
4,1,2,2,300,30.32238452,-97.74291092,2,1125,16,29,45,299,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,5 weeks ago,11/8/15
4,1,1,1,79,30.31939281,-97.74923707,1,1125,30,60,90,365,House,Private room,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",78756,Austin,TX,78731,Austin,t,6 weeks ago,11/7/15
4,1,1,2,109,30.31265123,-97.74672544,1,1125,2,2,6,262,Loft,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,3 days ago,11/8/15
3,1,1,1,88,30.31344751,-97.73902906,2,30,18,35,57,332,House,Private room,"{Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,3 days ago,11/7/15
5,1,1,3,115,30.31288494,-97.74042572,2,1125,23,32,54,316,House,Entire home/apt,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/7/15
4,1,0,2,144,30.32240762,-97.74226787,2,1125,23,49,79,354,House,Entire home/apt,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,today,11/7/15
3,1,1,1,200,30.31182908,-97.74371472,2,1125,30,60,90,365,Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,Washer,Dryer,""Smoke Detector""}",78756,Austin,TX,78756,Austin,t,20 months ago,11/7/15
4,1,2,2,150,30.30811208,-97.74259527,1,1125,0,0,0,258,Apartment,Entire home/apt,{},78756,Austin,TX,78756,Austin,t,8 months ago,11/8/15
6,2,3,4,625,30.31202269,-97.7486488,1,1125,30,60,90,365,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",78756,Austin,TX,78731,Austin,t,16 months ago,11/8/15
3,1,2,3,102,30.32225032,-97.72960015,2,7,9,20,20,293,House,Entire home/apt,"{TV,Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78751,Austin,t,a week ago,11/7/15
3,1,2,2,250,30.3140432,-97.74815383,1,1125,0,0,0,225,House,Entire home/apt,{},78756,Austin,TX,78756,Austin,t,never,11/7/15
3,1,1,1,70,30.32505682,-97.72838748,3,6,0,19,19,247,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Family/Kid Friendly""}",78756,Austin,TX,78756,Austin,t,4 weeks ago,11/7/15
3,1,1,1,119,30.31867811,-97.73205843,2,1125,28,58,88,332,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",78756,Austin,TX,78751,Austin,t,3 weeks ago,11/7/15
4,2,2,2,199,30.31272909,-97.74810178,1,60,0,5,35,310,Other,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,7 months ago,11/7/15
2,1,1,1,97,30.33227339,-97.73670455,1,1125,6,25,55,324,Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air Conditioning"",Heating,Essentials}",78756,Austin,TX,78757,Austin,t,5 days ago,11/8/15
6,1,2,3,125,30.32888034,-97.73635299,3,1125,11,11,11,11,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Shampoo}",78756,Austin,TX,78756,Austin,t,yesterday,11/7/15
2,1,1,1,97,30.31829714,-97.73248687,2,1125,27,57,87,360,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Hair Dryer""}",78756,Austin,TX,78751,Austin,t,3 days ago,11/7/15
4,1,1,2,118,30.32667029,-97.73505716,3,1125,28,58,88,205,Loft,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers}",78756,Austin,TX,78756,Austin,t,a week ago,11/7/15
4,1,2,2,163,30.31802008,-97.73152098,2,30,23,53,83,358,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer""}",78756,Austin,TX,78751,Austin,t,today,11/8/15
3,1,2,2,125,30.32053966,-97.73262484,1,1125,0,0,0,102,Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",78756,Austin,TX,78751,Austin,t,4 months ago,11/8/15
5,1,2,2,169,30.31851992,-97.73229353,2,1125,18,39,69,341,House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer}",78756,Austin,TX,78756,Austin,t,today,11/7/15
10,3,3,4,650,30.3244741,-97.73670526,1,1125,29,59,89,360,House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",78756,Austin,TX,78756,Austin,t,4 days ago,11/8/15
